taskID,validationStatus,transcriberID,validatorID,externalIdentifier,exportComment,dateTranscribed,dateValidated,individualCount,institutionCode,occurrenceRemarks,sequenceNumber,transcriberNotes,validatorNotes
4061324,Valid,Grahame Parsons,Joseph deVeer,mcz13103363v3_0001.jpg,Fully transcribed by Grahame Parsons. Exported on 14-May-2015 from DigiVol (http://volunteer.ala.org.au),8/21/14 23:43,4/10/15 2:36,0,MCZ,Diary\n1867,1,,
4061328,Valid,Grahame Parsons,Joseph deVeer,mcz13103363v3_0002.jpg,Fully transcribed by Grahame Parsons. Exported on 14-May-2015 from DigiVol (http://volunteer.ala.org.au),8/21/14 23:41,4/10/15 2:36,0,MCZ,"SBr97.41.1(3).\nWm Brewster\nCambridge\nJan. 23rd, 1867.",2,,
4061332,Valid,Grahame Parsons,Joseph deVeer,mcz13103363v3_0003.jpg,Fully transcribed by Grahame Parsons. Exported on 14-May-2015 from DigiVol (http://volunteer.ala.org.au),8/21/14 23:44,4/10/15 2:37,0,MCZ,,3,,
4061336,Valid,Grahame Parsons,Joseph deVeer,mcz13103363v3_0004.jpg,Fully transcribed by Grahame Parsons. Exported on 14-May-2015 from DigiVol (http://volunteer.ala.org.au),8/21/14 23:48,4/10/15 2:38,0,MCZ,ILLUMINATED\nDIARY\nfor\n1867.\nPUBLISHED\nFOR THE TRADE.,4,,
4061340,Valid,Alex Simpson,Joseph deVeer,mcz13103363v3_0005.jpg,Fully transcribed by Alex Simpson. Exported on 14-May-2015 from DigiVol (http://volunteer.ala.org.au),7/28/14 10:23,4/10/15 2:39,0,MCZ,Calendar \n1867\n,5,Blank page and Calendar. No Notes on either page.,
4061344,Valid,Alex Simpson,Joseph deVeer,mcz13103363v3_0006.jpg,Fully transcribed by Alex Simpson. Exported on 14-May-2015 from DigiVol (http://volunteer.ala.org.au),7/28/14 11:19,4/10/15 2:44,0,MCZ,"1867\nTuesday, January 1.\nCloudy all day. Began to spit\nsnow in the morning and\nincreased during the day until\nin the evening it snowed quite\nfast. Rather cold and chilly.\nWent shooting in A.M. starting\nat 10. Shot a mealy redpoll\na lesser redpoll and a goldfinch\nSaw numbers of snow birds, gold\nfinches, blue jays, about 50 or 60\nrobins, a purple finch, and \nheard a red bellied nuthach\nbut no cherry birds or fox colored\nsparrows. Got home from shooting\nabout 1.30 P.M., got some lunch &\nthen rode up to Dan's but he had gone\nshooting: on the way saw at least 1000\nredpolls & met a man with 5 quails\n6 in evening went up to the Russels & stuffed\nthe lesser redpoll shot Saturday\nAfter breakfast in A.M. finished the gull ",6,First page: moon phases/tide chart. ,
4061348,Valid,Alex Simpson,Joseph deVeer,mcz13103363v3_0007.jpg,Fully transcribed by Alex Simpson. Exported on 14-May-2015 from DigiVol (http://volunteer.ala.org.au),7/28/14 12:23,4/10/15 3:25,0,MCZ,"1867\nWednesday, January 2.\nAlternately cloudy and\nclear. The snow melted but\nlittle. In P.M. finished\nthe redpoll stuffed yesterday\nand skinned the remaining \none. In the evening went\nup to the Russells to study\nmy Caesar and got home\nat 9.15 P.M. then I nearly\nfinished the redpoll skinned\nin the P.M. Went to bed \nat 10.30. The heifer came\nin from the country today.\nTwo men tried Harry and gave \nfather    in echange. The\nweather today was not cold\nbut as there was little sun the\nsnow did not melt. Made some [?]\nafter dinner\nThursday, January 3, 1867.\nPleasant. At 8 A.M. ther. at 4 [degrees]\nand about the same at 9 P.M.\nat 3 P.M. 26 [degrees]. The snow melted\nconsiderably. When I got home\nfrom school finished the redpoll\nstuffed last night. Started\nat 4 P.M. and rode up to \nWaltham and saw Dan.\nHe had stuffed a pine\ngrosbeak and a pinnated\ngrouse. Got home at 5.30\nP.M. We had a goose for \ndinner. Studied on my \nCaesar till 9 P.M. but did not\ngo up to the Russells. The\nsnow is about 5 inches deep.",7,,
4061352,Valid,Alex Simpson,Joseph deVeer,mcz13103363v3_0008.jpg,Fully transcribed by Alex Simpson. Exported on 14-May-2015 from DigiVol (http://volunteer.ala.org.au),7/28/14 13:54,4/10/15 3:28,0,MCZ,"1867\nFriday, January 4.\nClear and pleasant. At 8 A.\nM. ther. at 4[degrees], at 3 P.M. 27[degrees], at\n10 P.M. 12[degrees]. Went up to R. Deane's\nwith him as soon as I got \nhome from school and saw\na robin and a blue jay that\nhe had stuffed since I was\nup there last. Starting\nat 3.30 P.M. rode up by the\nWatertown Arsenal, through\nCushing's (where I saw 5 or\n6 pine grosbeaks), and home\nby Fresh pond. In the \nevening went up to the \nRussels but only studied\nthere about a half an hour then\ncame home and studied till \n9. Went to bed at 10 P.M.\nSaturday, January 5, 1867.\nWilliam got hurt by falling off my horse\nAlso called. Went up to the Russells in [?]\nCloudy all day. Had a most\ngorgeous sunrise. Went\nshooting in A.M. starting\nat 6, but did not get a shot\nat any thing. Watched a\ngolden winged woodpecker for\nsome time & saw a snow bunting\nand a large flock of redpolls with\na few gold finches intermixed.\nGot home at 10, got some breakfast\nand was off again. Shot a female\nwhite bellied nuthatch. Saw \nseveral flocks of redpolls but neither\nrobins nor cedar birds. Saw song and\ntree sparrows but no fox colors for\nseveral weeks. Set a squirrel trap\nwith Charlie in P.M. & while away\nDan came down and Dick.",8,The first two lines for January 5 seem anomalous. They appear to continue from the bottom of the page of the same date.,
4061356,Valid,Alex Simpson,Joseph deVeer,mcz13103363v3_0009.jpg,Fully transcribed by Alex Simpson. Exported on 14-May-2015 from DigiVol (http://volunteer.ala.org.au),7/30/14 9:38,4/10/15 3:32,0,MCZ,"1867\nSunday, January 6.\n  Cloudy all day. Snowed all A.M.\ntill one P.M. About three inches\nof snow had fallen during the night\nand three more fell in the forenoon.\nWent to church and sabbath\nschool in A.M. but was late to\nthe former. Theo. Russell was admitted\ninto the church this A.M. Bill\nwas but little better today so\nI had to go down and tell\nJohn Torvig to shovel out the\nsnow. On the way home from\nchurch saw several redpolls, snow\nbirds, and five snow buntings.\nRead most of P.M. but in the\nlatter part walked up to Mt. \nAuburn and looked at my\nsquirrel trap but they had\nnot been near it. Read all the evening\n1867\nMonday, January 7.\n  Alternately cloudy and clear.\n2nite cold and very windy.\nThe snow drifted a good deal.\nGot a ride in a private sleigh\nfrom the Colleges to Hovey's.\nIn P.M. stuffed the white \nbreasted nuthatch shot\nSaturday and wound the\ntow into a ball for the first \ntime. Had to stuff for about\nan hour after dinner in\norder to finish the nuthatch.\nThen studied on my Caesar\ntill 9.30 P.M. and got it out\nwithout help. Fathers new\nmare had a sort of fit when\nshe came in from a drive this \nP.M. and could hardly walk",9,,
4061360,Valid,Grahame Parsons,Joseph deVeer,mcz13103363v3_0010.jpg,Fully transcribed by Grahame Parsons. Exported on 14-May-2015 from DigiVol (http://volunteer.ala.org.au),8/22/14 0:04,4/10/15 4:02,4,MCZ,"1867\nTuesday, January 8.\n  Clear but very windy. At 8\nA.M. Ther. at 12 [degrees]; at 10 P.M. 15 [degrees]\nOn the way home from school\nsaw about 20 snow buntings\nlight in Mr. Raymond's yard.\nWent down to R. Dana's with\nR. Deane in P.M. and played\nbilliards at his table. Then\nwent up to my box trap with\nCharlie and set a wire \ntrap that I bought on the\nway home from school.\nWent up to the Russell's\nin the evening with my\nCaesar as the lesson was quite\nhard but Mr. Russell went\nout before we had translated\nmuch. Father's horse was better\ntoday.\n1867\nWednesday, January 9.\n  Clear and pleasant but quite\nwindy. Got a ride down to\nthe Medges, and a ride up to\nthem on the was home from\nschool. On the way to school\nsaw a flock of about forty\nsnow buntings and one among\nthem that looked like a shore lark.\nIn P.M. rode up to my squirrel\ntrap & met Charlie there. It was\nsprung probably by the wind.\nRode up to Dan's through Wavelly\nwhere I saw about 12 pine grosbeaks.\nAt Dan's I found Ruth who had\ndriven his mother up in the sleigh.\nSaw a large flock of redpolls there\nand tried to shoot some but they\nflew. Dan had shot 2 snow buntings.\nRode home with Ruth.\n\n",10,,
