"taskID","validationStatus","transcriberID","validatorID","externalIdentifier","exportComment","dateTranscribed","dateValidated","individualCount","institutionCode","occurrenceRemarks","sequenceNumber","transcriberNotes","validatorNotes"
"4062940","Valid","Grahame Parsons","Joseph deVeer","mcz13103363v5_0001.jpg","Fully transcribed by Grahame Parsons. Exported on 02-May-2015 from DigiVol (http://volunteer.ala.org.au)","27-Jun-2014 21:02:18","04-Jul-2014 03:18:15","0","MCZ","[Front Cover]\nDiary\n1869","1","",""
"4062944","Valid","Grahame Parsons","Joseph deVeer","mcz13103363v5_0002.jpg","Fully transcribed by Grahame Parsons. Exported on 02-May-2015 from DigiVol (http://volunteer.ala.org.au)","27-Jun-2014 21:11:49","04-Jul-2014 03:20:54","0","MCZ","Wm Brewster\nJan 1st, 1869\n","2","most figure appear as fractions.",""
"4062948","Valid","Grahame Parsons","Joseph deVeer","mcz13103363v5_0003.jpg","Fully transcribed by Grahame Parsons. Exported on 02-May-2015 from DigiVol (http://volunteer.ala.org.au)","27-Jun-2014 21:14:04","04-Jul-2014 03:21:58","0","MCZ","[blank inside cover]\n[flyleaf]\nDiary\nfor\n1869.\nPublished Annually\nfor the Trade.","3","",""
"4062952","Valid","Grahame Parsons","Joseph deVeer","mcz13103363v5_0004.jpg","Fully transcribed by Grahame Parsons. Exported on 02-May-2015 from DigiVol (http://volunteer.ala.org.au)","27-Jun-2014 21:49:08","04-Jul-2014 03:23:14","0","MCZ","[blank page]\n\n\n\n                                                ","4","",""
"4062956","Valid","Grahame Parsons","Joseph deVeer","mcz13103363v5_0005.jpg","Fully transcribed by Grahame Parsons. Exported on 02-May-2015 from DigiVol (http://volunteer.ala.org.au)","27-Jun-2014 22:01:29","04-Jul-2014 03:28:55","0","MCZ","[Calendar]\nFriday, January 1, 1869.\n  Morning broke cloudy\nand snowing fast.\nTher. about 10[degrees] - 20[degrees] - \n14[degrees]. Rose as usual.\nAfter breakfast went\nto work on my boat\n& cut the lower sculling\nhole in the stern.\nThen R. Deane called\nand I went up to\nE. Dodge's with him\nand beat him at a ""game\nof 50"". Then played with\nEd and finished up\nwith a game of ""corporal"".\nGot home at about 12 N.\nand found Dan here.\nSpent the P.M. about\nthe place and in the\nevening went up to\nR. Deane's. By evening\nabout fifteen inches\nof snow had fallen\n& the roads were completely\nblocked up.","5","",""
"4062960","Valid","Grahame Parsons","Joseph deVeer","mcz13103363v5_0006.jpg","Fully transcribed by Grahame Parsons. Exported on 02-May-2015 from DigiVol (http://volunteer.ala.org.au)","27-Jun-2014 22:20:10","04-Jul-2014 03:37:46","0","MCZ","Saturday, January 2, 1869.\n  Cloudy and snowed\nmost of the evening.\nTher. about 16[degrees] - 25[degrees] - \n20[degrees]. Rose as usual.\nAfter breakfast worked\nawhile on the boat\nwith Dan & leathered\nand painted both\nsculling holes besides\npiping the locker &c.\nThen R. Deane called\nand spent the A.M.\nwith us. After lunch\nhad Tiger harnessed\nand took a sleigh ride\nwith Dan. Rode over to\nthe Milldam but as\nthe snow was very loose\n& the sleighing poor\ncame home through Cambridge\nPort. Saw a flock of\nabout fifty Snow Buntings\nand heard some Pine\nGrosbeaks.\nSunday, January 3, 1869.\n  Alternately cloudy\n& clear. Ther. about\n20[degrees] - 40[degrees] - 30[degrees].\nRose as usual and\nshaved. Attended\nchurch in A.M. but\nDan staid at home.\nIn P.M. took a walk\nnearly up to Watertown\nwith J. Nichols & Dan\n& on the way back\nvisited 'the pond'.\nThey were scraping\nthe ice and had already\ncleared a good portion\nof it. Met R. Deane &\nE. Dodge at 'the pond'.\nSaw four or five Pine\nGrosbeaks and a flock\nof about fifty Snow\nBuntings. In evening\nwent into J. Nichols to tea\n& was introduced to the\nelder Miss Farley.","6","",""
"4062964","Valid","Grahame Parsons","Joseph deVeer","mcz13103363v5_0007.jpg","Fully transcribed by Grahame Parsons. Exported on 02-May-2015 from DigiVol (http://volunteer.ala.org.au)","27-Jun-2014 22:44:58","04-Jul-2014 03:44:41","0","MCZ","Monday, January 4, 1869.\n  Cloudy & foggy but\ndid not rain. Very warm\n& damp. Ther. about\n30[degrees] - 45[degrees] - 35[degrees].\nRose at 7 A.M. &\ngetting Bill up, had\nTiger harnessed. Took\na ride with Dan up\nto Belmont & down\nby Mt. Auburn.\nThe sleighing was very\ngood. Did not get\nhome till 8.15 &\nconsequently got late \nto school. Wrote our\nsecond Greek Comp. paper\ntoday. Per. - Studied\nat the R's immediately\nafter getting back from\nschool. Then took a ride on\nTiger the first since last April.\nIn the evening got a certificate\nfrom Dr. Nichols & attended\nthe High School Debating Club.\nTuesday, January 5, 1869.\n  Cloudy & foggy.\nCleared up at sunset.\nTher. about 40[degrees] - 46[degrees] - \n35[degrees]. Rose as usual.\nWalked down to school\nwith Farrar & J. Croswell.\nGot late and a ""blowing""\nin consequence.\n  After getting back from\nschool had lunch as\nusual. Then R. Deane\ncalled and I had Tiger\nharnessed. Rode first\nover into Brookline\n& Brighton; saw six\nor seven Pine Grosbeaks.\nThen came back through\nthe square and kept\non up the avenue to\nSpy Pond. Came home\naround Fresh Pond. The\nsleighing was rather poor\nas in many places the\nground was bare.","7","",""
"4062968","Valid","Grahame Parsons","Joseph deVeer","mcz13103363v5_0008.jpg","Fully transcribed by Grahame Parsons. Exported on 02-May-2015 from DigiVol (http://volunteer.ala.org.au)","27-Jun-2014 23:01:05","04-Jul-2014 03:55:44","0","MCZ","Wednesday, January 6, 1869.\n  Clear and very warm.\nTher. about 30[degrees] - 45[degrees] - \n40[degrees]. Rose as usual.\nand walked down\nwith E. Dodge getting\nlate. Got dismissed\nat recess. After eating\nlunch J. Crosswell came\nup and we went up\nto the pond. Found\nthe skating quite good\nbut the wind very\nstrong. Skated all\nthe afternoon in\nCambridge nook. Got\nback at 4 P.M. Worked\na short time on my\nboat and then went up\nto the R's and studied.\nStayed to Willie & Henry's\nparty and tried dancing\nseveral times but did not\nsucceed very well.\nSaw five Tit Larks.\nThursday, January 7, 1869.\n  Clear and quite warm.\nTher. about 30[degrees] - 50[degrees] - \n40[degrees]. Rose at 7 A.M.\n& studied till breakfast\non my Arithmetic.\nWalked down with the\nboys. Got dismissed\nat recess. After getting\nhome went to work\non my boat and\nnearly finished it.\nThen went up to the\npond. Found E. Dodge there.\nThe ice in the middle\nwas very poor & soft, but\nunder the shade of the grove\nit was better. Skated till\n5 P.M. In evening studied\nar R's. The sleighing is\nabout used up, and the\nsnow has settled in the fields\nmore than one half.\nTiger was ""clipped"" today.","8","",""
"4062972","Valid","Grahame Parsons","Joseph deVeer","mcz13103363v5_0009.jpg","Fully transcribed by Grahame Parsons. Exported on 02-May-2015 from DigiVol (http://volunteer.ala.org.au)","27-Jun-2014 23:22:52","04-Jul-2014 04:03:18","0","MCZ","Friday, January 8, 1869.\n  Clear and exceedingly\nwarm. Ther. about\n40[degrees] - 60[degrees] - 45[degrees].\nRose a little early and\nstudied my Arithmetic.\nWalked down with\nthe boys & got late.\nWas dismissed at\nrecess and came home\nwith Theo. Went to\nwork on my boat\nimmediately and got it\nfinished by 2 P.M.\nThen Theo came down\nand we took a ride in\nthe shooting wagon.\nWent up into Waltham\nas far as Beaver brook and\ncame home by the\npond. In evening went\ndown to see Henshaw\nwho has been sick for several\ndays & on the way up bought\nsome copper sheathing for my\nnew boat.\nSaturday, January 9, 1869.\n  Cloudy but did not rain.\nVery misty in A.M.\n& quite warm during\nthe whole day. Ther.\nabout 38[degrees] - 50[degrees] - 40[degrees].\nRose at 6 A.M. and\ntaking Dart, started\noff on foot. First up\nto the Pine Swamp. Shot\na Wh. Br. Nuthatch (for\nmea.) & a Winter Wren.\nThen around to the railroad.\nSaw a Red Tailed Hawk.\nThen shot an adult male\nRedpoll & a Tree Sp. & Chickadee\n(two last for meas.) Then swam\nacross the pond. Found  minks\nhole. At 11.30 A.M. went into\nBoston with Theo. Bought a\nscrap book, gold studs, kid gloves,\nturned wood, bottle of arsenic & c.\nGot out at 6 P.M. In\nevening studied at R's.","9","",""
"4062976","Valid","Grahame Parsons","Joseph deVeer","mcz13103363v5_0010.jpg","Fully transcribed by Grahame Parsons. Exported on 02-May-2015 from DigiVol (http://volunteer.ala.org.au)","27-Jun-2014 23:36:09","04-Jul-2014 04:09:54","0","MCZ","Sunday, January 10, 1869.\n  Clear and very warm.\nTher. about 40[degrees] - 50[degrees] - \n30[degrees]. Rose as usual\nand shaved. Attended\nchurch in A.M.\nIn P.M. took a\nwalk up to 'the pond'\nwith Theo & J. Nichols.\nThe ice on the pond\nhas been thinned about\nan inch by the thaw.\nR. Deane called just\nafter supper & spent\nthe evening with me.\nAfter he had left (10 P.M.)\nwrote a letter to C. Carter.\nThe ground is now\nbare in many places &\nthe sleighing entirely\ndestroyed.\nMonday, January 11, 1869.\n  Cloudy. Began to rain\nat about 8 P.M. &\npoured the rest of the\nevening. Ther. about\n26[degrees] - 45[degrees] - 30[degrees].\nRose at 7 A.M. and\nstudied. Walked\ndown with the boys.\nAfter getting home from\nschool stuffed the Wood\nWren (male) shot Saturday\nand finished him at\n3 P.M. Then went up\nto the R's and studied.\nAfter dinner read a\nwhile. Then set to work\non the male Redpoll\nshot Saturday and\nfinished him by 10 o'clock.","10","",""
