"taskID","validationStatus","transcriberID","validatorID","externalIdentifier","exportComment","dateTranscribed","dateValidated","individualCount","institutionCode","occurrenceRemarks","sequenceNumber","transcriberNotes","validatorNotes"
"4058772","Valid","Grahame Parsons","Joseph deVeer","JournalsWilliam00Brew_0001.jpg","Fully transcribed by Grahame Parsons. Exported on 02-May-2015 from DigiVol (http://volunteer.ala.org.au)","07-Aug-2014 11:13:53","27-Mar-2015 01:35:27","0","MCZ","","1","",""
"4058776","Valid","Grahame Parsons","Joseph deVeer","JournalsWilliam00Brew_0002.jpg","Fully transcribed by Grahame Parsons. Exported on 02-May-2015 from DigiVol (http://volunteer.ala.org.au)","07-Aug-2014 11:16:42","27-Mar-2015 01:36:13","0","MCZ","HARVARD UNIVERSITY\nLIBRARY\nOF THE\nMUSEUM OF COMPARATIVE ZOOLOGY\nBEQUEST OF\nWILLIAM BREWSTER","2","",""
"4058780","Valid","Grahame Parsons","Joseph deVeer","JournalsWilliam00Brew_0003.jpg","Fully transcribed by Grahame Parsons. Exported on 02-May-2015 from DigiVol (http://volunteer.ala.org.au)","07-Aug-2014 11:17:20","27-Mar-2015 01:36:36","0","MCZ","","3","",""
"4058784","Valid","Grahame Parsons","Joseph deVeer","JournalsWilliam00Brew_0004.jpg","Fully transcribed by Grahame Parsons. Exported on 02-May-2015 from DigiVol (http://volunteer.ala.org.au)","07-Aug-2014 11:18:06","27-Mar-2015 01:36:57","0","MCZ","","4","",""
"4058804","Valid","Grahame Parsons","Joseph deVeer","JournalsWilliam00Brew_0005.jpg","Fully transcribed by Grahame Parsons. Exported on 02-May-2015 from DigiVol (http://volunteer.ala.org.au)","07-Aug-2014 11:21:55","27-Mar-2015 01:37:51","0","MCZ","The important systematic notes are copied into\n""Systematic Notes, Vols, 1-68."" I copied the notes\nchecked.   Walter Deane, June 11, 1898.\nWilliam Brewster","5","",""
"4058812","Valid","Grahame Parsons","Joseph deVeer","JournalsWilliam00Brew_0006.jpg","Fully transcribed by Grahame Parsons. Exported on 02-May-2015 from DigiVol (http://volunteer.ala.org.au)","07-Aug-2014 11:22:32","27-Mar-2015 01:38:10","0","MCZ","","6","",""
"4058816","Valid","Jessica Mitchell","Joseph deVeer","JournalsWilliam00Brew_0007.jpg","Fully transcribed by Jessica Mitchell. Exported on 02-May-2015 from DigiVol (http://volunteer.ala.org.au)","05-Jun-2014 01:07:56","27-Mar-2015 01:38:24","0","MCZ","","7","",""
"4058820","Valid","Jessica Mitchell","Joseph deVeer","JournalsWilliam00Brew_0008.jpg","Fully transcribed by Jessica Mitchell. Exported on 02-May-2015 from DigiVol (http://volunteer.ala.org.au)","05-Jun-2014 01:08:46","27-Mar-2015 01:38:36","0","MCZ","","8","",""
"4058824","Valid","Jessica Mitchell","Joseph deVeer","JournalsWilliam00Brew_0009.jpg","Fully transcribed by Jessica Mitchell. Exported on 02-May-2015 from DigiVol (http://volunteer.ala.org.au)","05-Jun-2014 01:14:45","11-Jun-2014 22:18:41","0","MCZ","Setophaga ruticilla O.\nJunco hiemalis C. & O.","9","",""
"4058828","Valid","Grahame Parsons","Joseph deVeer","JournalsWilliam00Brew_0010.jpg","Fully transcribed by Grahame Parsons. Exported on 02-May-2015 from DigiVol (http://volunteer.ala.org.au)","07-Aug-2014 11:46:15","27-Mar-2015 01:40:56","0","MCZ","To Harry Thompson\nElectrical Contractor\nTelephone connected\n","10","",""
"4058833","Valid","Jessica Mitchell","Joseph deVeer","JournalsWilliam00Brew_0011.jpg","Fully transcribed by Jessica Mitchell. Exported on 02-May-2015 from DigiVol (http://volunteer.ala.org.au)","05-Jun-2014 01:35:42","11-Jun-2014 22:23:48","0","MCZ","VII\n1888\nFeb. 13\nEast Watertown, Mass.\nClear, perfectly still and warm for a winter day.\n  Over the E. Watertown ground this morning\nstarting at 10.30, and getting back at 1 P.M.\n  Shortly after entering the woods behind the cemetery\nI saw two Creepers playing about the trunk of a\npine flying round and round as they ascended in a \ncork-screw course. A Nuthatch was calling a little beyond,\nCrows cawing in the distance. No other birds in these\nwoods.\n[margin]Sitta \ncarolinensis[/margin] \n  The snow was nearly a foot deep, crusted in the fields\nbut among the trees loose and powdery. Saw a gray\nsquirrels track in the cemetery woods.\n  Crossing the road and climbing French's hill I\nfound a number of birds assembled in this favorite\nhaunt of theirs. In the row of cedars just below the\npines were about a dozen Juncos twittering and flitting\nalong the wall one or two occasionally practicing the trills\nand warbling notes so often heard in March. In the old\noaks near the crest of the ridge two Creepers were calling\nto one another. I shot them and they proved to be a\npair; the [male] sang once or twice in low tones.\n[margin]Juncos[/margin]\n[margin]Certhia[/margin]\n  In the belt of cedars to the westward I found numerous\ntraces of a small Owl which from the size of the ejected\npellets were composed wholly of the hair & bones of mice;\nyet a single mouse track that dotted the snow under\nthese cedars was the only mouse sign that I saw to-day.\nPerhaps the Owl was only waiting to capture him before\nchanging his hunting grounds!\n[margin]Small owl[/margin]\n  Pausing a moment on the warm, sunny edge\nof this grove I thought, sadly enough, of the many\nmany times years ago that I had stood in the","11","",""
"4058837","Valid","Jessica Mitchell","Joseph deVeer","JournalsWilliam00Brew_0012.jpg","Fully transcribed by Jessica Mitchell. Exported on 02-May-2015 from DigiVol (http://volunteer.ala.org.au)","05-Jun-2014 01:55:27","11-Jun-2014 22:27:37","0","MCZ","(Feb. 13)\nsame spot and looked off over the woods, villages\nand distant hills that made the view to the south.\nThis view has changed very little in all these years.\nThe ugly hotel, to be sure, mars the foreground sadly\nand the asparagus bed and orchard at the foot of\nthe hills are gone, but otherwise it is much the same;\nthe pitch pine woods beyond the brook, the snow covered\nhills beyond, puffs of steam from the railroad &\ndistant factories rising in the still air and the general\neffect of peace and seclusion. I heard a Flicker\ncalling below me.\n  Finished my morning with a tramp through\nthe Arsenal woods. No birds save a Chickadee or two\nand a second Flicker but very many squirrel\ntracks (red squirrels, all of them) and one of the\nsquirrels snickering somewhere in the oaks.\n  Chadbourne saw a large flock of Crossbills in these\nwoods on July 31st. I do not understand what\nattracted them for there are no cones on the\npitch pines. There are also no cedar berries so\nthe prospect is poor for Robins and Cedar birds\nthis year.\n  English Sparrows were scattered about everywhere\nover the ground to-day.\n[margin]English\nSparrows.[/margin]\n  Before starting this morning I saw two Juncos\nin the street in front of my house. Doubtless there\nis already a slight influx of migrants that have\nbeen wintering further south. Certainly I have seen\nno Juncos in Cambridge since November and three\nCreepers is a larger number than I should have\nbeen likely to find in the Watertown wood in\nJanuary.\n[margin]Slight influx\nof birds from\nthe south.[/margin]","12","",""
"4058841","Valid","Jessica Mitchell","Joseph deVeer","JournalsWilliam00Brew_0013.jpg","Fully transcribed by Jessica Mitchell. Exported on 02-May-2015 from DigiVol (http://volunteer.ala.org.au)","05-Jun-2014 02:17:15","11-Jun-2014 23:02:51","0","MCZ","1888\nMarch 20\nRevere Beach, Massachusetts.\n  Cloudy with occasional light showers; warm.\n  To revere Beach with Chadbourne by 9 a.m. train.\nLeft the cars at Point of Pines and first inspected'\nthe pines behind the large hotel in hopes of finding\nCrossbills there. There were English Sparrows in\nabundance and four Tree Sparrows (S. monticola) but\nnothing else save a single Robin. In the bushy thickets\naround the outskirts of the grove Song Sparrows\nswarming as usual at this season and, despite\nthe gloomy weather, singing freely. We saw none\nelsewhere along the beach although they used to\nbe numerous during migration time at several\nplaces, especially Oak Island.\n[margin]S.monticola[/margin]\n  Near the extreme end of the Point we came on\na flock of about 15 Pine Linnets feeding among\nweeds on the side of a dyke embankment. Firing\ntwo barrels into these killed eight.\n[margin]Chrysomitris\npinus[/margin]\n  Retracing our steps to the station & crossing the\nrailroad we next tried the marshes. There were no\nsmall birds there but we saw a flock of about\n30 Crows (evidently migrants), about as many\nGolden-eye Duck feeding in the river, and numerous\nHerring Gulls.\n  The rest of the way to Oak Island we kept along\nthe beach ridge. Pine Linnets are exceedingly\nnumerous the entire distance, in flocks of 5 to 15 birds\neach. We shot nine more specimens. I made one\ncapital shot at a single bird passing very swiftly\nbefore the strong S. E. wind.\n  Besides the Linnets we saw a single Snow Bunting,\n& many English Sparrows, the latter feeding on the\nwet beach in flocks. Returned to the city at 12 n.","13","",""
"4058845","Valid","Grahame Parsons","Joseph deVeer","JournalsWilliam00Brew_0014.jpg","Fully transcribed by Grahame Parsons. Exported on 02-May-2015 from DigiVol (http://volunteer.ala.org.au)","07-Aug-2014 11:46:43","27-Mar-2015 01:41:13","0","MCZ","","14","",""
"4058849","Valid","Jessica Mitchell","Joseph deVeer","JournalsWilliam00Brew_0015.jpg","Fully transcribed by Jessica Mitchell. Exported on 02-May-2015 from DigiVol (http://volunteer.ala.org.au)","05-Jun-2014 02:36:18","11-Jun-2014 23:16:50","0","MCZ","1888\nMarch 22\nWatertown & Belmont, Massachusetts.\n  Clear, with warm sun and high, cold wind.\n  Took the 7:30 horse car to Mt. Auburn and spent\nabout two hours going over the usual ground. The cemetery\nwoods and French's hill yielded absolutely nothing save a\nnumber of English Sparrows. Just beyond the cedars I\nheard the first Bluebird, warbling blithely as he flitted\nover the open fields. Near the Arsenal a brushy hollow\ncontained a small band of Titmice and three or four\nSong Sparrows in full song. On the ridge beyond were\ntwo Certhia americana both of which I shot. Hearing the\ncrack of a pistol at the north end of this ridge I\nwent to the spot and found Chadbourne in the act\nof aiming at a Certhia on one of the century old white\noaks. I shot at the bird over his head he firing at\nexactly the same instant. He had killed another\n& we shortly found a third near the same spot.\n  Crossing the railroad we proceeded through the oak\nwoods & thence to the main road in front of Frasar's\nwhere George met us with the buggy. On the way\nnear the brook Chadbourne shot a fine [male] Loxia americana\nwhich came flying overhead and alighted in a\nlow willow.\n  We next drove to Belmont seeing by the way\na pair of Bluebirds, a Certhia, and adult Buteo lineatus\nin an apple orchard & a large flock of Pine Linnets\nfeeding among some weeds. In the arsenal woods\n(I forgot to mention) we saw two flocks of Rusty\nGrackles, a Flicker, and heard a Blue Jay.\n  Climbing the big hill by way of Prospect St. we\nleft the buggy at the delta and entered the cedar\nwoods. For some time we could find nothing\nbut at length heard a Crossbill piping among","15","",""
"4058853","Valid","Jessica Mitchell","Joseph deVeer","JournalsWilliam00Brew_0016.jpg","Fully transcribed by Jessica Mitchell. Exported on 02-May-2015 from DigiVol (http://volunteer.ala.org.au)","05-Jun-2014 02:53:11","11-Jun-2014 23:21:04","0","MCZ","(March 22)\nthe pitch pines. Looking closely I at length discovered\nthree of these birds feeding among the cones & shot\nthem all in quick succession & also a fourth which\nflew into the tree just after the third bird fell.\n  During the next half hour we repeatedly heard\n& saw Crossbills flying about in & over these woods\nbut could find none in the trees. Crossing the\nroad we explored the cedars & pines to the south\nseeing a single Crossbill only. Returning we shot\nthree tree Sparrows in the bushes along the\nroad & in the cedars near the delta found\na large flock of Purple Finches & Pine Linnets\n& with them four Crossbills. Several of the Purple\nFinches were singing. The Crossbills were in the\ntop of a red cedar apparently feeding on its\nberries. I shot three of them, two at one shot.\nOne lodged in the top of a tall cedar giving\nme a hard and dirty (for the trunk was wet)\nclimb before I could secure it.\n  We saw no Robins, Fox Sparrows, nor Red-\nwings. Robins were seen by Bolles in great numbers\non the same ground March 18th.\n  On a sunny hillside I started a butterfly\n(Vanessa antiopa). Have not heard, or heard of,\nany Hylas or Wood Frogs yet.\n  The country presented a typical March aspect\nto-day about two-thirds bare and brown, the\nother third dirty-white with wasted snow drifts\n& patches or blue gray with sodden snow ice. The\nroads everywhere in a horrible condition, the frost\ncoming out. The pines & cedars very bright fresh\ngreen or olive green.","16","",""
